ID	Order	Rank	Name	Skill1	Skill2	Points
	1	HR?	Poison Charm III	Poison Resistance		3
	2	HR?	Attack Charm III	Attack Boost		3
	3	MR?	Attack Charm IV	Attack Boost		4
	4	HR?	Defense Charm III	Defense Boost		3
	5	MR?	Defense Charm IV	Defense Boost		4
	6	MR?	Defense Charm V	Defense Boost		5
	7	HR?	Paralysis Charm III	Paralysis Resistance		3
	8	HR?	Sleep Charm III	Sleep Resistance		3
	9	HR?	Stun Charm III	Stun Resistance		3
	10	HR?	Windproof Charm III	Windproof		3
	11	MR?	Windproof Charm IV	Windproof		4
	12	HR?	Health Charm III	Health Boost		3
	13	HR?	Recovery Charm III	Recovery Up		3
	14	HR?	Fire Charm III	Fire Resistance		3
	15	HR?	Water Charm III	Water Resistance		3
	16	HR?	Thunder Charm III	Thunder Resistance		3
	17	HR?	Blaze Charm III	Fire Attack		3
	18	MR?	Blaze Charm IV	Fire Attack		4
	19	MR?	Blaze Charm V	Fire Attack		5
	20	HR?	Flood Charm III	Water Attack		3
	21	MR?	Flood Charm IV	Water Attack		4
	22	MR?	Flood Charm V	Water Attack		5
	23	HR?	Shock Charm III	Thunder Attack		3
	24	MR?	Shock Charm IV	Thunder Attack		4
	25	MR?	Shock Charm V	Thunder Attack		5
	26	HR?	Venom Charm III	Poison Attack		3
	27	MR?	Venom Charm IV	Poison Attack		4
	28	HR?	Immobilize Charm III	Paralysis Attack		3
	29	MR?	Immobilize Charm IV	Paralysis Attack		4
	30	HR?	Tranq Charm III	Sleep Attack		3
	31	MR?	Tranq Charm IV	Sleep Attack		4
	32	HR?	KO Charm III	Slugger		3
	33	HR?	Enervate Charm III	Stamina Thief		3
	34	HR?	Artillery Charm III	Artillery		3
	35	HR?	Hungerless Charm III	Hunger Resistance		3
	36	HR?	Ironside Charm III	Guard		3
	37	MR?	Ironside Charm IV	Guard		4
	38	MR?	Ironside Charm V	Guard		5
	39	HR?	Friendship Charm III	Wide-Range		3
	40	MR?	Friendship Charm IV	Wide-Range		4
	41	MR?	Friendship Charm V	Wide-Range		5
	42	HR?	Extension Charm III	Item Prolonger		3
	43	HR?	Glutton's Charm III	Speed Eating		3
	44	HR?	Blessing Charm III	Divine Blessing		3
	45	HR?	Rally Charm III	Palico Rally		3
	46	MR?	Rally Charm IV	Palico Rally		4
	47	MR?	Rally Charm V	Palico Rally		5
	48	HR?	Botany Charm III	Botanist		3
	49	MR?	Botany Charm IV	Botanist		4
	50	HR?	Geology Charm III	Geologist		3
	51	HR?	Slinger Charm III	Slinger Capacity		3
	52	HR?	Stealth Charm III	Stealth		3
	53	HR?	Survival Charm III	Survival Expert		3
	54	HR?	Mirewalker Charm III	Aquatic/Polar Mobility		3
	55	HR?	Insect Charm III	Entomologist		3
	56	HR?	Intimidator Charm III	Intimidator		3
	57	HR?	Heavy Artillery Charm II	Heavy Artillery		2
	58	HR?	Light Eater's Charm	Free Meal		1
	59	HR?	Tracker Charm	Scenthound		1
	60	HR?	Fortification Charm	Fortify		1
	61	HR?	Performer's Charm	Horn Maestro		1
	62	HR?	Capacity Charm	Capacity Boost		1
	63	HR?	Bleed Charm III	Bleeding Resistance		3
	64	HR?	Speed Heal Charm III	Recovery Speed		3
	65	HR?	Ice Charm III	Ice Resistance		3
	66	HR?	Blight Charm III	Blight Resistance		3
	67	HR?	Frost Charm III	Ice Attack		3
	68	MR?	Frost Charm IV	Ice Attack		4
	69	MR?	Frost Charm V	Ice Attack		5
	70	HR?	Master's Charm III	Critical Eye		3
	71	MR?	Master's Charm IV	Critical Eye		4
	72	HR?	Evasion Charm III	Evade Window		3
	73	MR?	Evasion Charm IV	Evade Window		4
